code	comment	blank	ratio	file
64	10	10	0.16	cpp/.clang-format
96	85	4	0.89	cpp/.clang-tidy
338	285	63	0.84	cpp/CMakeLists.txt
57	0	20	0.00	cpp/README.md
984	109	144	0.11	cpp/benchmarks/benchmark.cpp
270	61	31	0.23	cpp/benchmarks/stability_bench.cpp
3	0	2	0.00	cpp/cmake/aletheia-cpp-config.cmake.in
15	32	1	2.13	cpp/include/aletheia/aletheia.hpp
63	55	21	0.87	cpp/include/aletheia/backend.hpp
231	54	56	0.23	cpp/include/aletheia/check.hpp
6	11	4	1.83	cpp/include/aletheia/cli.hpp
141	154	19	1.09	cpp/include/aletheia/client.hpp
233	116	56	0.50	cpp/include/aletheia/dbc.hpp
79	44	15	0.56	cpp/include/aletheia/detail/cache_keys.hpp
10	37	7	3.70	cpp/include/aletheia/detail/rational_renderer.hpp
10	13	7	1.30	cpp/include/aletheia/enrich.hpp
124	62	14	0.50	cpp/include/aletheia/error.hpp
16	22	7	1.38	cpp/include/aletheia/excel.hpp
31	56	19	1.81	cpp/include/aletheia/limits.hpp
68	37	19	0.54	cpp/include/aletheia/log.hpp
224	42	42	0.19	cpp/include/aletheia/ltl.hpp
77	61	25	0.79	cpp/include/aletheia/response.hpp
203	137	53	0.67	cpp/include/aletheia/types.hpp
20	12	10	0.60	cpp/include/aletheia/validation.hpp
46	27	8	0.59	cpp/include/aletheia/validation_issue.hpp
10	21	6	2.10	cpp/include/aletheia/yaml.hpp
1	20	1	20.00	cpp/sanitizer-ignorelist.txt
31	12	7	0.39	cpp/src/backend.cpp
499	82	46	0.16	cpp/src/cli/cli.cpp
22	5	5	0.23	cpp/src/cli/main.cpp
877	162	62	0.18	cpp/src/client.cpp
114	27	15	0.24	cpp/src/dbc.cpp
41	13	10	0.32	cpp/src/detail/ffi_logic.cpp
14	33	8	2.36	cpp/src/detail/ffi_logic.hpp
29	38	9	1.31	cpp/src/detail/json.hpp
201	80	32	0.40	cpp/src/detail/loader_utils.cpp
53	81	21	1.53	cpp/src/detail/loader_utils.hpp
97	46	23	0.47	cpp/src/detail/mock_backend.hpp
13	5	6	0.38	cpp/src/detail/rts_init.cpp
11	31	7	2.82	cpp/src/detail/rts_init.hpp
8	26	8	3.25	cpp/src/detail/rts_params.hpp
164	17	19	0.10	cpp/src/enrich.cpp
570	124	91	0.22	cpp/src/excel.cpp
318	117	46	0.37	cpp/src/ffi_backend.cpp
933	175	96	0.19	cpp/src/json_parse.cpp
442	53	38	0.12	cpp/src/json_serialize.cpp
8	3	5	0.38	cpp/src/mock_backend.cpp
152	67	19	0.44	cpp/src/rational_renderer.cpp
9	7	6	0.78	cpp/src/types.cpp
190	47	41	0.25	cpp/src/yaml.cpp
177	34	19	0.19	cpp/tests/cli_tests.cpp
70	35	19	0.50	cpp/tests/dbc_corpus_parity_tests.cpp
387	92	50	0.24	cpp/tests/doc_example_tests.cpp
789	128	112	0.16	cpp/tests/excel_tests.cpp
19	26	4	1.37	cpp/tests/fuzz/fuzz_decode_binary_frame.cpp
10	9	3	0.90	cpp/tests/fuzz/fuzz_parse_dbc_json.cpp
16	17	3	1.06	cpp/tests/fuzz/fuzz_parse_rational_number.cpp
14	12	3	0.86	cpp/tests/fuzz/fuzz_parse_response.cpp
0	0	0	-	cpp/tests/fuzz/seed/decode_binary_frame/empty.bin
1	0	0	0.00	cpp/tests/fuzz/seed/parse_dbc_json/minimal.json
1	0	0	0.00	cpp/tests/fuzz/seed/parse_rational_number/dict.txt
1	0	0	0.00	cpp/tests/fuzz/seed/parse_rational_number/integer.txt
1	0	0	0.00	cpp/tests/fuzz/seed/parse_response/ack.json
1	0	0	0.00	cpp/tests/fuzz/seed/parse_response/error.json
1	0	0	0.00	cpp/tests/fuzz/seed/parse_response/validation.json
1580	356	300	0.23	cpp/tests/integration_tests.cpp
38	13	6	0.34	cpp/tests/rts_heap_cap_workload.cpp
44	37	13	0.84	cpp/tests/rts_init_renderer_uninitialized_tests.cpp
42	28	10	0.67	cpp/tests/rts_setup_listener.cpp
122	71	51	0.58	cpp/tests/static_tests.cpp
221	79	36	0.36	cpp/tests/test_cross_binding_integration.cpp
175	27	24	0.15	cpp/tests/test_feature_matrix_parity.cpp
33	17	10	0.52	cpp/tests/test_helpers.hpp
164	59	43	0.36	cpp/tests/test_log_events_parity.cpp
35	26	9	0.74	cpp/tests/test_rts_heap_cap.cpp
28	10	9	0.36	cpp/tests/test_rts_params_parity.cpp
94	54	21	0.57	cpp/tests/test_wire_codes_parity.cpp
8	2	0	0.25	cpp/tests/testdata/doc_examples/checks.yaml
146	57	32	0.39	cpp/tests/unit_tests_cancel.cpp
253	53	49	0.21	cpp/tests/unit_tests_check.cpp
670	108	125	0.16	cpp/tests/unit_tests_client.cpp
245	41	44	0.17	cpp/tests/unit_tests_dbc.cpp
101	34	18	0.34	cpp/tests/unit_tests_decimal.cpp
838	117	136	0.14	cpp/tests/unit_tests_enrich.cpp
81	31	21	0.38	cpp/tests/unit_tests_ffi_logic.cpp
140	53	21	0.38	cpp/tests/unit_tests_input_bounds.cpp
1676	171	200	0.10	cpp/tests/unit_tests_json.cpp
149	27	26	0.18	cpp/tests/unit_tests_log.cpp
76	21	10	0.28	cpp/tests/unit_tests_property.cpp
243	43	49	0.18	cpp/tests/unit_tests_validation.cpp
498	35	48	0.07	cpp/tests/yaml_tests.cpp
17404	4737	2808	0.27	TOTAL
