cpp/.clang-format	probes/cpp_.clang-format--effective-config-is-pinned.sh probes/cpp_.clang-format--keys-canonical.sh probes/tools__ci_steps.py--the-format-gate-sees-only-tracked-sources.sh 
cpp/.clang-tidy	probes/cpp_.clang-tidy--argument-comment-strictmode-does-not-require-comments.sh probes/cpp_.clang-tidy--every-header-uses-pragma-once.sh probes/cpp_.clang-tidy--header-disable-list-matches-checks.sh probes/cpp_.clang-tidy--implicit-bool-conversion-defaults-already-flag-conditions.sh probes/cpp_.clang-tidy--init-variables-includestyle-changes-no-finding.sh 
cpp/CMakeLists.txt	probes/.gitignore--every-documented-build-tree-is-ignored.sh probes/cpp_CMakeLists.txt--compile-db-carries-no-ccache-launcher.sh probes/cpp_CMakeLists.txt--every-dependency-pin-is-a-release.sh probes/cpp_CMakeLists.txt--every-documented-recipe-runs-from-the-same-place.sh probes/cpp_CMakeLists.txt--every-target-compiles-at-the-project-standard.sh probes/cpp_CMakeLists.txt--mull-plugin-rejects-file-prefix-map.sh probes/cpp_CMakeLists.txt--project-version-matches-the-other-bindings.sh probes/cpp_CMakeLists.txt--subdirectory-consumer-gets-library-and-no-tests.sh probes/cpp_CMakeLists.txt--the-mutation-lane-sees-the-whole-library.sh probes/cpp_tests_fuzz_fuzz_parse_response.cpp--the-recipe-runs-and-is-written-once.sh probes/cpp_tests_repo_root.hpp--one-way-to-find-the-repository.sh 
cpp/README.md	probes/cpp_README.md--cpp-fence-builds-and-runs.sh 
cpp/benchmarks/benchmark.cpp	probes/cpp--every-caller-shares-one-library-search.sh probes/cpp_benchmarks_benchmark.cpp--count-options-refuse-non-numbers.sh probes/cpp_benchmarks_benchmark.cpp--empty-env-falls-back-to-discovery.sh 
cpp/benchmarks/stability_bench.cpp	probes/cpp--every-caller-shares-one-library-search.sh probes/cpp_.clang-tidy--the-gate-fails-on-a-discarded-return.sh probes/cpp_benchmarks_stability_bench.cpp--bad-env-counts-are-refused.sh probes/cpp_benchmarks_stability_bench.cpp--fd-leak-is-caught.sh 
cpp/cmake/aletheia-cpp-config.cmake.in	probes/cpp_cmake_aletheia-cpp-config.cmake.in--installed-consumer-links-both-loaders.sh probes/cpp_cmake_aletheia-cpp-config.cmake.in--installed-consumer-links-client.sh 
cpp/include/aletheia/aletheia.hpp	probes/cpp_include_aletheia_aletheia.hpp--covers-every-public-header-but-cli.sh probes/cpp_include_aletheia_aletheia.hpp--facade-omits-loaders-and-third-party.sh 
cpp/include/aletheia/backend.hpp	probes/cpp--every-caller-shares-one-library-search.sh probes/cpp_include_aletheia_backend.hpp--from-env-refuses-unset-and-empty.sh probes/cpp_include_aletheia_backend.hpp--state-crosses-as-a-handle.sh probes/cpp_include_aletheia_backend.hpp--the-factory-comment-matches-the-factory.sh 
cpp/include/aletheia/check.hpp	probes/cpp_include_aletheia_check.hpp--builder-guards-throw.sh probes/cpp_include_aletheia_check.hpp--header-example-compiles.sh 
cpp/include/aletheia/cli.hpp	probes/cpp_include_aletheia_cli.hpp--exit-codes.sh 
cpp/include/aletheia/client.hpp	probes/cpp_include_aletheia_client.hpp--comment-citations-resolve.sh probes/cpp_include_aletheia_validation.hpp--the-format-contract-has-one-owner.sh 
